Continuous,Rest1week,Rest2weeks
2.05,1.2,1.23
3.05,1.48,1.66
3.12,3.54,1.7
1.59,1.03,1.29
3.83,1.45,1.26
1.53,1.4,1.05
1.44,2.68,2.35
